Tabelle: 12411-001
Bevölkerung: Gemeinden, Stichtage (letzten 6);;
Fortschreibung des Bevölkerungsstandes;;
Bevölkerung (Anzahl);;
;;31.12.2024
09178156;      Wolfersdorf;2575
09178157;      Zolling;4956
09179;    Fürstenfeldbruck (Lkr);218227
09179111;      Adelshofen;1893
09179113;      Alling;4105
09179114;      Althegnenberg;2056
09179117;      Egenhofen;3443
09179118;      Eichenau;11540
09179119;      Emmering;6899
09179121;      Fürstenfeldbruck, GKSt;37420
09179123;      Germering, GKSt;40916
09179125;      Grafrath;3885
09179126;      Gröbenzell;19362
09179128;      Hattenhofen;1559
09179130;      Jesenwang;1668
09179131;      Kottgeisering;1599
09179132;      Landsberied;1566
09179134;      Maisach;13974
09179136;      Mammendorf;5066
09179137;      Mittelstetten;1683
09179138;      Moorenweis;4122
09179140;      Oberschweinbach;1741
09179142;      Olching, St;27310
09179145;      Puchheim, St;20858
09179147;      Schöngeising;1943
09179149;      Türkenfeld;3619
09180;    Garmisch-Partenkirchen (Lkr);89296
09180112;      Bad Kohlgrub;2875
09180113;      Bad Bayersoien;1278
09180114;      Eschenlohe;1556
09180115;      Ettal;681
09180116;      Farchant;3571
09180117;      Garmisch-Partenkirchen, M;28305
09180118;      Grainau;3564
09180119;      Großweil;1631
09180122;      Krün;1985
09180123;      Mittenwald, M;7323
09180124;      Murnau a.Staffelsee, M;11994
09180125;      Oberammergau;5132
09180126;      Oberau;3132
09180127;      Ohlstadt;3323
09180128;      Riegsee;1252
09180129;      Saulgrub;1612
09180131;      Schwaigen;611
09180132;      Seehausen a.Staffelsee;2422
09180133;      Spatzenhausen;737
09180134;      Uffing a.Staffelsee;3069
09180135;      Unterammergau;1727
09180136;      Wallgau;1516
09180444;      Gemeindefreie Gebiete;-
09181;    Landsberg am Lech (Lkr);122107
09181111;      Apfeldorf;1208
09181113;      Denklingen;2881
09181114;      Dießen am Ammersee, M;10673
09181115;      Eching am Ammersee;1620
09181116;      Egling a.d.Paar;2444
09181118;      Eresing;2066
09181120;      Finning;1920
09181121;      Fuchstal;4151
09181122;      Geltendorf;5817
09181123;      Greifenberg;2187
09181124;      Hofstetten;1850
09181126;      Hurlach;1947
09181127;      Igling;2531
09181128;      Kaufering, M;9957
09181129;      Kinsau;1055
09181130;      Landsberg am Lech, GKSt;29257
09181131;      Obermeitingen;1756
09181132;      Penzing;4321
09181133;      Vilgertshofen;2788
09181134;      Prittriching;2630
09181135;      Reichling;1753
09181137;      Rott;1746
09181138;      Scheuring;2000
09181139;      Schondorf am Ammersee;3776
09181140;      Schwifting;1039
09181141;      Pürgen;3659
09181142;      Thaining;1098
09181143;      Unterdießen;1522
09181144;      Utting am Ammersee;4616
09181145;      Weil;4022
09181146;      Windach;3817
09181444;      Gemeindefreie Gebiete;-
09182;    Miesbach (Lkr);97152
09182111;      Bad Wiessee;4820
09182112;      Bayrischzell;1607
09182114;      Fischbachau;5562
09182116;      Gmund a.Tegernsee;5813
09182119;      Hausham;8177
09182120;      Holzkirchen, M;16310
09182123;      Irschenberg;3226
09182124;      Kreuth;3421
09182125;      Miesbach, St;11573
09182127;      Otterfing;4682
09182129;      Rottach-Egern;5441
09182131;      Schliersee, M;6591
09182132;      Tegernsee, St;3567
09182133;      Valley;3385
09182134;      Waakirchen;5419
09182136;      Warngau;3768
09182137;      Weyarn;3790
09183;    Mühldorf a.Inn (Lkr);122037
09183112;      Ampfing;7234
09183113;      Aschau a.Inn;3245
09183114;      Buchbach, M;3371
09183115;      Egglkofen;1373
09183116;      Erharting;1005
09183118;      Gars a.Inn, M;4021
09183119;      Haag i.OB, M;6532
09183120;      Heldenstein;2821
09183122;      Jettenbach;763
09183123;      Kirchdorf;1339
09183124;      Kraiburg a.Inn, M;4021
09183125;      Lohkirchen;841
09183126;      Maitenbeth;2067
09183127;      Mettenheim;3689
09183128;      Mühldorf a.Inn, St;22503
09183129;      Neumarkt-Sankt Veit, St;6334
09183130;      Niederbergkirchen;1233
09183131;      Niedertaufkirchen;1439
09183132;      Oberbergkirchen;1741
09183134;      Oberneukirchen;839
09183135;      Obertaufkirchen;2723
09183136;      Polling;3315
09183138;      Rattenkirchen;1068
09183139;      Rechtmehring;2102
09183140;      Reichertsheim;1721
09183143;      Schönberg;1131
09183144;      Schwindegg;3490
09183145;      Taufkirchen;1389
09183147;      Unterreit;1768
09183148;      Waldkraiburg, St;25737
09183151;      Zangberg;1182
09183444;      Gemeindefreie Gebiete;-
09184;    München (Lkr);354396
09184112;      Aschheim;9149
09184113;      Baierbrunn;3376
09184114;      Brunnthal;5451
09184118;      Feldkirchen;7780
09184119;      Garching b.München, St;17656
09184120;      Gräfelfing;13472
09184121;      Grasbrunn;6581
09184122;      Grünwald;11179
09184123;      Haar, St;22878
09184127;      Höhenkirchen-Siegertsbrunn;11039
09184129;      Hohenbrunn;9032
09184130;      Ismaning;18093
09184131;      Kirchheim b.München;13392
09184132;      Neuried;8795
09184134;      Oberhaching;13318
09184135;      Oberschleißheim;11857
09184136;      Ottobrunn;22829
09184137;      Aying;5581
09184138;      Planegg;11007
09184139;      Pullach i.Isartal;8601
09184140;      Putzbrunn;6845
09184141;      Sauerlach;8063
09184142;      Schäftlarn;5840
09184144;      Straßlach-Dingharting;3258
09184145;      Taufkirchen;18140
09184146;      Neubiberg;14329
09184147;      Unterföhring;11866
09184148;      Unterhaching;26507
09184149;      Unterschleißheim, St;28482
09184444;      Gemeindefreie Gebiete;-
09185;    Neuburg-Schrobenhausen (Lkr);99364
09185113;      Aresing;3059
09185116;      Berg im Gau;1373
09185118;      Bergheim;1995
09185123;      Brunnen;1818
09185125;      Burgheim, M;4678
09185127;      Ehekirchen;3674
09185131;      Gachenbach;2627
09185139;      Karlshuld;5997
09185140;      Karlskron;5150
09185143;      Langenmosen;1676
09185149;      Neuburg a.d.Donau, GKSt;30135
09185150;      Oberhausen;3231
09185153;      Rennertshofen, M;4840
09185157;      Rohrenfels;1646
09185158;      Schrobenhausen, St;17815
09185163;      Königsmoos;4938
09185166;      Waidhofen;2294
09185168;      Weichering;2418
09186;    Pfaffenhofen a.d.Ilm (Lkr);130781
09186113;      Baar-Ebenhausen;5488
09186116;      Ernsgaden;1811
09186122;      Geisenfeld, St;11563
09186125;      Gerolsbach;3836
09186126;      Hettenshausen;2149
09186128;      Hohenwart, M;4903
09186130;      Ilmmünster;2207
09186132;      Jetzendorf;3144
09186137;      Manching, M;13042
09186139;      Münchsmünster;3235
09186143;      Pfaffenhofen a.d.Ilm, St;26996
09186144;      Pörnbach;2209
09186146;      Reichertshausen;5188
09186147;      Reichertshofen, M;8126
09186149;      Rohrbach;5970
09186151;      Scheyern;4883
09186152;      Schweitenkirchen;5517
09186158;      Vohburg a.d.Donau, St;8891
09186162;      Wolnzach, M;11623
09187;    Rosenheim (Lkr);258637
09187113;      Amerang;3739
09187114;      Aschau i.Chiemgau;5471
09187116;      Babensham;3122
09187117;      Bad Aibling, St;18497
09187118;      Bernau a.Chiemsee;6855
09187120;      Brannenburg;6658
09187121;      Breitbrunn a.Chiemsee;1453
09187122;      Bruckmühl, M;16735
09187123;      Chiemsee;172
09187124;      Edling;4307
09187125;      Eggstätt;2846
09187126;      Eiselfing;3295
09187128;      Bad Endorf, M;8117
09187129;      Bad Feilnbach;8198
09187130;      Feldkirchen-Westerham;10742
09187131;      Flintsbach a.Inn;2929
09187132;      Frasdorf;2993
09187134;      Griesstätt;2823
09187137;      Großkarolinenfeld;7387
09187138;      Gstadt a.Chiemsee;1157
09187139;      Halfing;2734
09187142;      Schechen;5316
09187145;      Höslwang;1214
09187148;      Kiefersfelden;6513
09187150;      Kolbermoor, St;19094
09187154;      Neubeuern, M;4131
09187156;      Nußdorf a.Inn;2562
09187157;      Oberaudorf;5095
09187159;      Pfaffing;4104
09187162;      Prien a.Chiemsee, M;10915
09187163;      Prutting;2934
09187164;      Ramerberg;1390
09187165;      Raubling;11161
09187167;      Riedering;5550
09187168;      Rimsting;3775
09187169;      Rohrdorf;5853
09187170;      Rott a.Inn;4142
09187172;      Samerberg;2798
09187173;      Schonstett;1426
09187174;      Söchtenau;2672
09187176;      Soyen;2943
09187177;      Stephanskirchen;10558
09187179;      Tuntenhausen;7074
09187181;      Vogtareuth;3072
09187182;      Wasserburg a.Inn, St;12375
09187186;      Albaching;1740
09187444;      Gemeindefreie Gebiete;-
09188;    Starnberg (Lkr);139329
09188113;      Berg;8009
09188117;      Andechs;3830
09188118;      Feldafing;4337
09188120;      Gauting;21860
09188121;      Gilching;19062
09188124;      Herrsching a.Ammersee;11099
09188126;      Inning a.Ammersee;4822
09188127;      Krailling;7847
09188132;      Seefeld;7628
09188137;      Pöcking;5589
09188139;      Starnberg, St;24471
09188141;      Tutzing;9926
09188144;      Weßling;5519
09188145;      Wörthsee;5330
09188444;      Gemeindefreie Gebiete;-
09189;    Traunstein (Lkr);175144
09189111;      Altenmarkt a.d.Alz;4141
09189113;      Bergen;4592
09189114;      Chieming;4778
09189115;      Engelsberg;2485
09189118;      Fridolfing;4337
09189119;      Grabenstätt;4324
09189120;      Grassau, M;6910
09189124;      Inzell;4704
09189126;      Kienberg;1373
09189127;      Kirchanschöring;3338
09189129;      Marquartstein;3030
09189130;      Nußdorf;2340
09189133;      Obing;4441
09189134;      Palling;3555
09189135;      Petting;2250
